Image Path,KA,KB,CA,DT,M,L,MN
KA_0001.jpg,1,0,0,0,0,0,0
KA_0002.jpg,1,0,0,0,0,0,0
KA_0003.jpg,1,0,0,0,0,0,0
KA_0004.jpg,1,0,0,0,0,0,0
KA_0005.jpg,1,0,0,0,0,0,0
KA_0006.jpg,1,0,0,0,0,0,0
KA_0007.jpg,1,0,0,0,0,0,0
KA_0008.jpg,1,0,0,0,0,0,0
KA_0009.jpg,1,0,0,0,0,0,0
KA_0010.jpg,1,0,0,0,0,0,0
KA_0011.jpg,1,0,0,0,0,0,0
KA_0012.jpg,1,0,0,0,0,0,0
KA_0013.jpg,1,0,0,0,0,0,0
KA_0014.jpg,1,0,0,0,0,0,0
KA_0015.jpg,1,0,0,0,0,0,0
KA_0016.jpg,1,0,0,0,0,0,0
KA_0017.jpg,1,0,0,0,0,0,0
KA_0018.jpg,1,0,0,0,0,0,0
KA_0019.jpg,1,0,0,0,0,0,0
KA_0020.jpg,1,0,0,0,0,0,0
KA_0021.jpg,1,0,0,0,0,0,0
KA_0022.jpg,1,0,0,0,0,0,0
KA_0023.jpg,1,0,0,0,0,0,0
KA_0024.jpg,1,0,0,0,0,0,0
KA_0025.jpg,1,0,0,0,0,0,0
KA_0026.jpg,1,0,0,0,0,0,0
KA_0027.jpg,1,0,0,0,0,0,0
KA_0028.jpg,1,0,0,0,0,0,0
KA_0029.jpg,1,0,0,0,0,0,0
KA_0030.jpg,1,0,0,0,0,0,0
KA_0031.jpg,1,0,0,0,0,0,0
KA_0032.jpg,1,0,0,0,0,0,0
KA_0033.jpg,1,0,0,0,0,0,0
KA_0034.jpg,1,0,0,0,0,0,0
KA_0035.jpg,1,0,0,0,0,0,0
KA_0036.jpg,1,0,0,0,0,0,0
KA_0037.jpg,1,0,0,0,0,0,0
KA_0038.jpg,1,0,0,0,0,0,0
KA_0039.jpg,1,0,0,0,0,0,0
KA_0040.jpg,1,0,0,0,0,0,0
KA_0041.jpg,1,0,0,0,0,0,0
KA_0042.jpg,1,0,0,0,0,0,0
KA_0043.jpg,1,0,0,0,0,0,0
KA_0044.jpg,1,0,0,0,0,0,0
KA_0045.jpg,1,0,0,0,0,0,0
KA_0046.jpg,1,0,0,0,0,0,0
KA_0047.jpg,1,0,0,0,0,0,0
KA_0048.jpg,1,0,0,0,0,0,0
KA_0049.jpg,1,0,0,0,0,0,0
KA_0050.jpg,1,0,0,0,0,0,0
KA_0051.jpg,1,0,0,0,0,0,0
KA_0052.jpg,1,0,0,0,0,0,0
KA_0053.jpg,1,0,0,0,0,0,0
KA_0054.jpg,1,0,0,0,0,0,0
KA_0055.jpg,1,0,0,0,0,0,0
KA_0056.jpg,1,0,0,0,0,0,0
KA_0057.jpg,1,0,0,0,0,0,0
KA_0058.jpg,1,0,0,0,0,0,0
KA_0059.jpg,1,0,0,0,0,0,0
KA_0060.jpg,1,0,0,0,0,0,0
KA_0061.jpg,1,0,0,0,0,0,0
KA_0062.jpg,1,0,0,0,0,0,0
KA_0063.jpg,1,0,0,0,0,0,0
KA_0064.jpg,1,0,0,0,0,0,0
KA_0065.jpg,1,0,0,0,0,0,0
KA_0066.jpg,1,0,0,0,0,0,0
KA_0067.jpg,1,0,0,0,0,0,0
KA_0068.jpg,1,0,0,0,0,0,0
KA_0069.jpg,1,0,0,0,0,0,0
KA_0070.jpg,1,0,0,0,0,0,0
KA_0071.jpg,1,0,0,0,0,0,0
KA_0072.jpg,1,0,0,0,0,0,0
KA_0073.jpg,1,0,0,0,0,0,0
KA_0074.jpg,1,0,0,0,0,0,0
KA_0075.jpg,1,0,0,0,0,0,0
KA_0076.jpg,1,0,0,0,0,0,0
KA_0077.jpg,1,0,0,0,0,0,0
KA_0078.jpg,1,0,0,0,0,0,0
KA_0079.jpg,1,0,0,0,0,0,0
KA_0080.jpg,1,0,0,0,0,0,0
KA_0081.jpg,1,0,0,0,0,0,0
KA_0082.jpg,1,0,0,0,0,0,0
KA_0083.jpg,1,0,0,0,0,0,0
KA_0084.jpg,1,0,0,0,0,0,0
KA_0085.jpg,1,0,0,0,0,0,0
KA_0086.jpg,1,0,0,0,0,0,0
KA_0087.jpg,1,0,0,0,0,0,0
KA_0088.jpg,1,0,0,0,0,0,0
KA_0089.jpg,1,0,0,0,0,0,0
KA_0090.jpg,1,0,0,0,0,0,0
KA_0091.jpg,1,0,0,0,0,0,0
KA_0092.jpg,1,0,0,0,0,0,0
KA_0093.jpg,1,0,0,0,0,0,0
KA_0094.jpg,1,0,0,0,0,0,0
KA_0095.jpg,1,0,0,0,0,0,0
KA_0096.jpg,1,0,0,0,0,0,0
KA_0097.jpg,1,0,0,0,0,0,0
KA_0098.jpg,1,0,0,0,0,0,0
KA_0099.jpg,1,0,0,0,0,0,0
